,country,year,rgdpo,pop,emp,avh,cn,csh_c,csh_i,csh_x,csh_m
250,Albania,1990,12096.71875,3.286073,1.324078202,1746.1490000000003,59577.33203,0.856952548,0.106054932,0.042010795,-0.039518476
255,Albania,1995,13669.63086,3.112936,1.020465255,1746.1490000000003,58342.53125,0.83702904,0.076833233,0.034744028,-0.133728549
260,Albania,2000,16633.27148,3.129243,0.962967455,1746.1490000000003,63532.78906,0.667987108,0.148361713,0.038922738,-0.179369807
265,Albania,2005,20162.41602,3.08681,1.013383627,1746.1490000000003,81421.72656,0.717072308,0.30305326,0.067683108,-0.303668827
270,Albania,2010,31021.06445,2.948023,0.890818357,1746.1490000000003,157940.0781,0.665042818,0.269711465,0.08571098,-0.29264155
275,Albania,2015,33659.42188,2.890513,0.926395297,1746.1490000000003,203325.2813,0.699363887,0.224819243,0.098695129,-0.254487067
279,Albania,2019,36103.04297,2.880917,1.075897694,1746.1490000000003,223971.375,0.714311898,0.205827802,0.126593605,-0.313949287
670,Austria,1990,205574.1563,7.723949,3.560341358,1826.03,942584.0,0.586113513,0.325672895,0.37463811,-0.465004265
675,Austria,1995,250433.9375,7.990121,3.5849545,1774.44,1234466.375,0.585021675,0.350698888,0.378297269,-0.470961928
680,Austria,2000,306927.5625,8.069276,3.759931087,1798.43,1200857.375,0.579758227,0.278788924,0.414344817,-0.450148165
685,Austria,2005,357373.0313,8.25365,3.862365246,1752.49,1196751.375,0.566923022,0.262529433,0.591509461,-0.600830913
690,Austria,2010,385229.0625,8.409949,4.096951008,1665.84,1799280.875,0.575460374,0.270727992,0.575607896,-0.633838594
695,Austria,2015,430623.875,8.67866,4.278239727,1605.28,2450585.75,0.539104044,0.295809478,0.51533854,-0.566652417
699,Austria,2019,477705.5,8.955102,4.550281048,1611.37,2630129.5,0.511577547,0.312185794,0.529936731,-0.577150583
880,Belgium,1990,261314.0313,10.006544,3.86115694,1655.93,1001521.125,0.582910359,0.318685323,0.907993436,-0.975957692
885,Belgium,1995,296016.7813,10.186305,3.886936665,1578.03,1250827.875,0.573007405,0.290766865,1.002563715,-1.025397658
890,Belgium,2000,346908.875,10.282033,4.121242523,1589.1,1271484.875,0.563950539,0.266005099,0.96584183,-0.966559947
895,Belgium,2005,429270.6563,10.546886,4.300207138,1577.68,1438839.0,0.52612865,0.291785002,1.222685575,-1.202026844
900,Belgium,2010,489332.5938,10.938739,4.49962616,1573.83,2433023.5,0.528927922,0.318307668,1.192425966,-1.226376653
905,Belgium,2015,484155.0313,11.28794,4.622033596,1575.46,2843534.0,0.554329216,0.336818278,1.148282886,-1.23309648
909,Belgium,2019,517419.75,11.539328,4.921936512,1586.43,3078800.5,0.552580118,0.360463798,1.248495698,-1.362420917
1160,Bulgaria,1990,106472.7031,8.841458,4.09679985,1746.1490000000003,75428.15625,0.501451731,0.06747026,0.041396957,-0.04567099
1165,Bulgaria,1995,86818.875,8.379308,3.197725296,1710.67,76030.4375,0.517296255,0.005297343,0.091007896,-0.088047087
1170,Bulgaria,2000,79629.25,7.997957,3.03881979,1640.25,104935.2578,0.558401823,0.130386218,0.150907129,-0.202866822
1175,Bulgaria,2005,100854.5078,7.686962,3.154664278,1658.65,144678.0625,0.614719033,0.208800018,0.235810071,-0.38181743
1180,Bulgaria,2010,123621.2813,7.425008,3.253475428,1644.84,329768.0938,0.564305425,0.214068308,0.265201509,-0.378481001
1185,Bulgaria,2015,127390.25,7.199741,3.207561016,1644.39,380138.9375,0.591933429,0.190581337,0.323390841,-0.43345052
1189,Bulgaria,2019,149432.4219,7.000119,3.420418501,1645.25,433185.9063,0.585945487,0.185823798,0.334064871,-0.454821229
1440,Belarus,1990,145477.1719,10.151134,5.125820637,1746.1490000000003,642478.5,0.385573328,0.214271069,0.254405349,-0.287119478
1445,Belarus,1995,84745.26563,10.077608,4.354739189,1746.1490000000003,715611.0625,0.425117314,0.155293077,0.04289417,-0.05051773
