"Data Source","World Development Indicators",

"Last Updated Date","2024-03-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.15","15.63","15.89","16.2","15.29","15.72","15.53","15.52","14.64","16.48","16.58","15.98","6.96","3.33","3.39","3.35","3.23","3.09","3.03","3.15","4.06","3.63","","",
"Africa Eastern and Southern","AFE","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.90808563559575","8.62342969828916","8.26328531406127","8.50816176633996","8.48361124710825","7.99022589222433","7.72079366766524","7.53627741872299","7.59123248092451","7.74162786319313","7.19294823703466","7.17929041246404","7.04604520429022","7.01338114836319","7.11162371056645","6.82285703992125","6.80457508692443","6.69924617988093","6.66259937243637","6.58954928029971","6.74226235529565","","","",
"Afghanistan","AFG","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.64","1.74","1.4","1.4","1.2","1.41","1.5","1.53","1.94","2.25","2.46","3.23","2.61","2.46","2.25","2.37","2.24","2.3","2.44","2.41","2.57","","","",
"Africa Western and Central","AFW","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.5735272757973","7.44516207208731","7.05460067315754","6.94847266075213","6.74155874139101","6.68881068927206","6.43399024807962","6.30847218754323","6.12424826156274","5.78492681865251","5.99822303299751","6.12512137679019","5.96171422644861","5.80136825135581","5.6138033935219","5.42739056406524","5.59573743920676","5.48884253015202","5.35463101539976","5.44017655762912","5.57187101577912","","","",
"Angola","AGO","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.69","3.67","3.35","3.51","3.18","2.62","2.63","2.51","2.49","2.73","2.61","2.61","2.71","2.61","3.28","2.86","2.61","2.51","3.01","2.92","2.7","","","",
"Albania","ALB","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.13","3.89","4.1","3.8","3.96","3.76","3.46","3.12","3.01","2.98","2.85","2.91","2.57","2.96","2.93","2.69","2.68","2.7","2.59","2.51","2.41","","","",
"Andorra","AND","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.5550855378393","4.87836521197062","5.10864510818758","4.9028558803294","4.68151088015698","4.73970310279986","4.72864154258388","4.72144102930632","4.81632403239551","5.08297292619446","5.14311808222665","5.13163342923","5.15978134824574","5.07795545587865","5.2905780455492","5.24063443772391","5.20753327111505","5.18915350295855","5.05754139645096","5.10234435500368","5.15498944226418","","","",
"United Arab Emirates","ARE","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.08","5.6","5.4","4.88","4.4","4.47","4.23","4.45","5.1","5.76","5.48","5.07","5.11","5.15","5.6","5.88","6.07","4.97","5.04","5.22","5.5","","","",
"Argentina","ARG","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.69","3.59","3.99","3.97","4.04","3.68","3.58","3.44","3.42","3.35","3.26","3.18","3.3","3.31","3.4","3.36","3.41","3.32","3.31","3.35","3.46","3.38","","",
