Report generated on: 03-27-2024 11:32:28
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"","total energy consumption (quad Btu)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.44-2-AFG-QBTU.A","        Afghanistan","0.02658321667756184","0.029949457623843767","0.031897814673808554","0.03902180313163165","0.03920224040186807","0.03827496129519434","0.039111198580053776","0.06306515769145625","0.11122078650562646","0.10936453856934128","0.10832034143696309","0.04743819775898182","0.03128176575298239","0.031068733251352468","0.030081108758152546","0.02534847326495263","0.02486021943357976","0.02367338825784984","0.02303955525784984","0.02302743728319992","0.020178061853199918","0.01591449045921003","0.015109508584207386","0.01776927950701234","0.016413668953812403","0.020995960691609476","0.026428278277012326","0.03131329193271841","0.05481038598842457","0.09111098319635988","0.11377900290343003","0.14332744811458176","0.13765027069319372","0.11416576977462783","0.09696120084250569","0.11172582624800645","0.10196781485590371","0.10086123775411128","0.11569819729775732","0.10343658619574822","0.09346919021295572","0.09258890712086146"
"INTL.44-2-ALB-QBTU.A","        Albania","0.16298182182124926","0.16204449273682853","0.16284611700217974","0.16933585149179003","0.1704057218202433","0.17005625500667076","0.16607537777033485","0.1666405283961216","0.1685908728103857","0.16034057953517927","0.11484532651489701","0.09632368949498195","0.08419123835829688","0.07383345482247178","0.07017822073745411","0.07754968357728133","0.08534262686100279","0.07794667369496719","0.08384251513623263","0.07545623437158866","0.0980373559405912","0.09292334270457393","0.1006494838387759","0.11352238408455871","0.12108508433524132","0.11947154054209015","0.11248945390078424","0.09682509365857128","0.10574486401881655","0.115238061781209","0.12304402332284661","0.10743348644120246","0.1051279333181231","0.13193111766441915","0.11621639284070061","0.11629730243544255","0.13589570519859817","0.12578047491234484","0.14342046025641697","0.1136090571488556","0.10914868032090533","0.137347715206226"
"INTL.44-2-DZA-QBTU.A","        Algeria","0.7806951671133022","0.6633913232329025","0.952188115918025","1.0705618432163024","1.1307867129706235","1.0464182466677772","1.0663009617019872","1.1383186539191739","1.2131193653810644","1.1752824500023602","1.2176747131103456","1.3540221852730518","1.3018175531658567","1.197190189761347","1.2331532738213695","1.2893408555746482","1.2636678937141161","1.2037328796133115","1.2507993484799216","1.2460964247642696","1.2741409095164264","1.2755788416753817","1.3074545634065444","1.3231213793565968","1.2954098986632896","1.4904662092077268","1.5596889350215406","1.5497462359855616","1.6774201141608194","1.7841253819873597","1.7777604019160995","1.9379902738228294","2.098203173382945","2.037584643437122","2.299888435758712","2.3521475403657623","2.3359823797283905","2.365986904617233","2.522119152162065","2.6248730961427658","2.4808107737143397","2.58112331407509"
"INTL.44-2-ASM-QBTU.A","        American Samoa","0.0058931124","0.00692647725","0.0096550895","0.00608690425","0.0069454539","0.00650669075","0.006716584","0.0069730088735","0.0067788142464","0.007806191271","0.008210538271","0.008210538271","0.0084455186982","0.008216195771","0.008003583271","0.007790970771","0.0078116066982","0.008003583271","0.008003583271","0.0080035935","0.007837103119999992","0.00783710312000001","0.007967311610000008","0.007967311610000008","0.007967311610000001","0.008463481349999993","0.0086069555","0.0086069555","0.0086305362","0.0086069555","0.0086069555","0.004911508895857226","0.004933530033037225","0.004930590895857226","0.004930528895857227","0.004930145088825","0.00495266140458","0.004957573895818638","0.004957028895818638","0.0049560338958186375","0.00472248254264","0.0054464101348"
"INTL.44-2-AGO-QBTU.A","        Angola","0.05836614796628778","0.05786368803134464","0.06200789925058719","0.06629700722242975","0.059894700907251144","0.07376669580030859","0.072853256","0.0751354785","0.0774952488","0.0749834485","0.0796086341707318","0.083441112","0.08466824245","0.0831231608","0.0811018555","0.0869945193","0.0836117204","0.09391645935","0.0845276794","0.0943487828","0.1107173657809459","0.12022322564226803","0.12811341259766792","0.14217062870431416","0.15722099348672391","0.1338573038047019","0.16877540479424796","0.19399633769398011","0.22737446558912797","0.25872445499614005","0.2838176477364","0.297535913056","0.31073998491839994","0.34776127766959997","0.382763725955","0.399218709765","0.364251516864","0.347458949401","0.35922694644","0.404865374","0.4023175359623359","0.32862841773276713"
"INTL.44-2-ATA-QBTU.A","        Antarctica","0.00213195","0.002126125","0.002126125","0.002126125","0.002771535","0.002976575","0.0027639625","0.0027639625","0.00298473","0.0027639625","0.002976575","0.002976575","0.00298473","0.002976575","0.002976575","0.0031891875","0.003197925","0.0031891875","0.0031891875","0.0031891875","0.003172178500000001","0.003259087500000006","0.003259087500000006","0.003259087500000006","0.003302542000000008","0.0033225399999999984","0.0033223799999999985","0.003365764499999991","0.00016811705078009434","0.00022995901854650001","0.0002299430185465","0.0002297830185465","0.0001961989345206","0.0001956895185465","0.0001956740185465","0.0001987294447","0.0001984776","0.00018650857384650002","0.00018650857384650002","0.0001865087","0.00015701273540170708","0.0001670865779301645"
"INTL.44-2-ATG-QBTU.A","        Antigua and Barbuda","0.005804855437462404","0.00516874569536389","0.00702949414112474","0.00413499655479432","0.00456095784348873","0.004548496210036575","0.004624394072","0.0057559173955","0.0057713111868","0.0057559173955","0.0059685298955","0.0059476518955","0.0059635709868","0.0059476518955","0.0063672193955","0.0067884293955","0.0068066519868","0.0069953843955","0.0069953843955","0.0069954036","0.007289302129999994","0.007289302130000003","0.007814667939999994","0.008213774980000001","0.008519161109999993","0.008649450129999998","0.008914563839999997","0.009342398069999997","0.009556925079999988","0.010013005165999993","0.00968157735999999","0.009654357286000004","0.009921411979999998","0.00992237857999999","0.010145155389999988","0.010384333245","0.0105354924","0.010023144455879531","0.010327376809913552","0.0103822111","0.008785965598705894","0.009372914316988215"
"INTL.44-2-ARG-QBTU.A","        Argentina","1.7130881261159243","1.6697633913354655","1.7495192606772616","1.7734523305785803","1.8998259956825827","1.8216756715011164","1.951940041407618","1.9578462674646182","1.9424086993445113","1.9307399427672947","1.8762860338839293","1.9554785534635843","2.0272607611321303","2.2493423949779334","2.214231555245756","2.280637253378201","2.381744491867366","2.4688291325784926","2.6213694828279954","2.5369627574955698","2.753287393941842","2.709574820422789","2.550997700978188","2.7771184678272105","2.9916702150900405","3.128320613681997","3.298939638725817","3.3862173209044006","3.5174948385335942","3.4405577732714616","3.5786321720340672","3.654670535498919","3.7109672207778255","3.764130594648333","3.7772998110782323","3.8323863076317717","3.8367592944268645","3.6679122657306533","3.6427953285675687","3.704336987440268","3.2472387930795965","3.54489760011036"
"INTL.44-2-ARM-QBTU.A","        Armenia","--","--","--","--","--","--","--","--","--","--","--","--","0.19707438458231163","0.14998730776818422","0.13408394734455686","0.13152119517250915","0.16835991920439383","0.14188471758827853","0.1507845485316632","0.09319205128128914","0.10022710704820556","0.09856692490486321","0.09441703382161046","0.10382471981629438","0.10768513928160468","0.12474456088579176","0.12455406677000141","0.13976686002598204","0.134886150506089","0.12051959734244014","0.1342251355973488","0.14131456285062044","0.14974218654056431","0.14690502509685532","0.14973864977232865","0.13873783082274654","0.13972765966870568","0.14891088497298058","0.1464781056744699","0.15571247476820596","0.16356710149946216","0.16841325895819617"
"INTL.44-2-ABW-QBTU.A","        Aruba","--","--","--","--","--","--","0.001453868","0.001453868","0.005570152536","0.0074044995","0.007820675201","0.008531306257","0.0093710136018","0.009521171","0.01044658689","0.01182343989","0.007792577736","0.01260234989","0.01260234989","0.012602367","0.015072690950000002","0.015595911780000013","0.01612162000000001","0.01795297824999998","0.01872199437","0.020217967989999988","0.020179450130000002","0.020794461289999996","0.019534150659900003","0.01947491775039998","0.018281777737900004","0.01454421220999999","0.018222121206999994","0.017646844013999994","0.01789838781789999","0.018421825","0.017901294784","0.018534464256147402","0.01790559206104303","0.018564911559999998","0.015820884506180362","0.016755668012933444"
